"School Name","BoroughCode","Geographical District","Project Description","Construction Award","Project type","Building ID","Building Address","City","Postcode","Borough","Latitude","Longitude","Community Board","Council District","BIN","BBL","Census Tract (2020)","Neighborhood Tabulation Area (NTA) (2020)","Location 1"
"P.S. 317 - QUEENS","Q","27","ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS","11,379,100","CIP","Q225","1-90 BEACH 110 STREET","Queens","10128","QUEENS","40.580928","-73.831836","414","32","4303853","4161810001","938","QN1403","(40.580928, -73.831836)"
"P.S. 161 - BRONX","X","7","PARAPETS / EXTERIOR MASONRY / ELECTRICAL SERVICE UPGRADE / ELECTRIFICATION/HEAT PUMP SYSTEMS / ROOFS","25,555,000","CIP","X161","628 TINTON AVENUE","Bronx","10128","BRONX","40.814916","-73.905518","201","8","2004773","2026640029","79","BX0102","(40.814916, -73.905518)"
"P.S. 20 - BROOKLYN","K","13","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","350,000","CIP","K020","225 ADELPHI STREET","Brooklyn","10128","BROOKLYN","40.690765","-73.971376","302","35","3058531","3020910003","183","BK0203","(40.690765, -73.971376)"
"P.S. 54 - BRONX","X","10","IPDVS CAMERA INSTALLATION / FY23 RESO A IPDVS CAMERA INSTALLATION","372,000","CIP","X054","2703 WEBSTER AVENUE","Bronx","10128","BRONX","40.864527","-73.887829","207","15","2113630","2032780014","40502","BX0702","(40.864527, -73.887829)"
"I.S. 202 - QUEENS","Q","27","PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION","8,212,500","CIP","Q202","138-30 LAFAYETTE STREET","Queens","10128","QUEENS","40.67124","-73.845141","410","32","4245993","4114030001","58","QN1002","(40.67124, -73.845141)"
"P.S. 102 - MANHATTAN","M","4","PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION","7,500,000","CIP","M102","315 EAST 113 STREET","Manhattan","10128","MANHATTAN","40.794869","-73.938711","111","8","1081366","1016840101","180","MN1102","(40.794869, -73.938711)"
"P.S. 145 - BROOKLYN","K","32","FY24 RESO A PA SYSTEM UPGRADE","928,120","CIP","K145","100 NOLL STREET","Brooklyn","10128","BROOKLYN","40.701621","-73.93241","304","34","3071915","3031530011","425","BK0401","(40.701621, -73.93241)"
"P.S. 69 - STATEN ISLAND","R","31","FY24 RESO A PA SYSTEM UPGRADE","869,000","CIP","R069","144 KEATING PLACE","Staten Island","10128","STATEN IS","40.591468","-74.156705","502","51","5037541","5023660073","27705","SI0204","(40.591468, -74.156705)"
"P.S. 81 - BROOKLYN","K","16","ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION","4,993,919","CIP","K081","990 DEKALB AVENUE","Brooklyn","10128","BROOKLYN","40.693161","-73.935765","303","36","3043248","3016020019","289","BK0302","(40.693161, -73.935765)"
"P.S. 33 - QUEENS","Q","29","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","395,000","CIP","Q033","91-37 222 STREET","Queens","10128","QUEENS","40.727134","-73.735077","413","23","4230589","4107560001","560","QN1303","(40.727134, -73.735077)"
"I.S. 54 - MANHATTAN","M","3","ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS","14,298,000","CIP","M054","103 WEST 107 STREET","Manhattan","10128","MANHATTAN","40.800119","-73.962837","107","7","1055990","1018620011","193","MN0703","(40.800119, -73.962837)"
"P.S. 110 - BRONX","X","9","ELECTRICAL WORK FOR A/C INITIATIVE","4,171.6","CIP","X110","580 CROTONA PARK SOUTH","Bronx","10128","BRONX","40.835286","-73.900751","203","15","2009718","2029320001","149","BX0301","(40.835286, -73.900751)"
"HERBERT H. LEHMAN HS - X","X","8","AUDITORIUM UP0GRADE","1,050,000","CIP","X405","3000 EAST TREMONT AVENUE","Bronx","10128","BRONX","40.840733","-73.838685","210","13","2074045","2053680001","194","BX1002","(40.840733, -73.838685)"
"P.S. 28 - MANHATTAN","M","6","WATER INFILTRATION INTO ELECTRCIAL EQUIPMENT / FIRE ALARM SYSTEM REPLACEMENT","979,000","CIP","M028","475 WEST 155 STREET","Manhattan","10128","MANHATTAN","40.831227","-73.942143","112","10","1076739","1021070026","239","MN1201","(40.831227, -73.942143)"
"HS OF COMMN. ARTS & TECH - QUEENS","Q","27","FY23 RESO A CAFETERIA UPGRADE","1,474,000","CIP","Q202","138-30 LAFAYETTE STREET","Queens","10128","QUEENS","40.67124","-73.845141","410","32","4245993","4114030001","58","QN1002","(40.67124, -73.845141)"
"P.S. 308 - BROOKLYN","K","16","PLAYGROUND UPGRADE","2,549,101","CIP","K308","616 QUINCY STREET","Brooklyn","10128","BROOKLYN","40.688695","-73.935499","303","36","3044493","3016300001","293","BK0302","(40.688695, -73.935499)"
"HOSTOS-LINCOLN ACADEMY OF SCIENCE","X","7","PARAPETS / EXTERIOR MASONRY","5,264,000","CIP","X162","600 ST ANNS AVENUE","Bronx","10128","BRONX","40.815525","-73.912226","201","17","2004314","2026160001","73","BX0102","(40.815525, -73.912226)"
"P.S. 76 - QUEENS","Q","30","RETAINING WALL","398,000","CIP","Q076","36-36 10 STREET","Queens","10128","QUEENS","40.760852","-73.941143","401","26","4004331","4003540001","39","QN0105","(40.760852, -73.941143)"
"P.S. 18 - QUEENS","Q","26","IPDVS INSTALLATIONS / IPDVS INSTALLATIONS","314,000","CIP","Q018","86-35 235 COURT","Queens","10128","QUEENS","40.732112","-73.73246","413","23","4166561","4079550002","1621","QN1302","(40.732112, -73.73246)"
"I.S. 285 - BROOKLYN","K","18","FY20 RESO A PATH OF TRAVEL SCIENCE LAB UPGRADES / FY20 RESO A SCIENCE LAB UPGRADES","1,480,000","CIP","K285","5905 BEVERLY ROAD","Brooklyn","10128","BROOKLYN","40.646875","-73.921028","317","45","3104599","3047440001","936","BK1703","(40.646875, -73.921028)"
"I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN","K","15","New","66,677,000","CAP","K004","4012 FORT HAMILTON PARKWAY","Brooklyn","11218","BROOKLYN","40.642578","-73.991388","312","38",,,"110","BK1201","(40.642578, -73.991388)"
"CONCORD HS - R","R","31","FY22 RESO A (MA) CULINARY KITCHEN / PATH OF TRAVEL RESO A (MA) CULINARY KITCHEN","2,587,000","CIP","R470","109 RHINE AVENUE","Staten Island","10128","STATEN IS","40.610868","-74.087379","501","49","5043479","5028850001","4004","SI0103","(40.610868, -74.087379)"
"I.S. 119 - QUEENS","Q","24","ROOFS / FLOOD ELIMINATION / PARAPETS / WINDOWS / EXTERIOR MASONRY / FIRE ALARM / LL26 EXIT SIGNS / EXTERIOR DOORS","19,270,344","CIP","Q119","74-01 78 AVENUE","Queens","10128","QUEENS","40.704406","-73.875183","405","32","4092660","4038120020","63301","QN0503","(40.704406, -73.875183)"
"THE WOODSIDE COMMUNITY SCHOOL - QUEENS","Q","30","FY24 RESO A PLAYGROUND UPGRADE","576,000","CIP","Q339","39-07 57TH STREET","Queens","10128","QUEENS","40.747693","-73.906429","402","26","4543408","4012280048","257","QN0203","(40.747693, -73.906429)"
"P.S. 54 - BROOKLYN","K","13","FULL PROGRAM ACCESSIBILITY / FIRE ALARM REPLACEMENT","14,444,000","CIP","K054","195 SANDFORD STREET","Brooklyn","10128","BROOKLYN","40.692741","-73.952981","303","33","3049020","3017650015","241","BK0301","(40.692741, -73.952981)"
