building_id,school_name,building_address,city,borough,borough_code,geographical_district,latitude,longitude
Q225,P.S. 317 - QUEENS,1-90 BEACH 110 STREET,Queens,QUEENS,Q,27,40.580928,-73.831836
X161,P.S. 161 - BRONX,628 TINTON AVENUE,Bronx,BRONX,X,7,40.814916,-73.905518
K020,P.S. 20 - BROOKLYN,225 ADELPHI STREET,Brooklyn,BROOKLYN,K,13,40.690765,-73.971376
X054,P.S. 54 - BRONX,2703 WEBSTER AVENUE,Bronx,BRONX,X,10,40.864527,-73.887829
Q202,I.S. 202 - QUEENS,138-30 LAFAYETTE STREET,Queens,QUEENS,Q,27,40.67124,-73.845141
M102,P.S. 102 - MANHATTAN,315 EAST 113 STREET,Manhattan,MANHATTAN,M,4,40.794869,-73.938711
K145,P.S. 145 - BROOKLYN,100 NOLL STREET,Brooklyn,BROOKLYN,K,32,40.701621,-73.93241
R069,P.S. 69 - STATEN ISLAND,144 KEATING PLACE,Staten Island,STATEN IS,R,31,40.591468,-74.156705
K081,P.S. 81 - BROOKLYN,990 DEKALB AVENUE,Brooklyn,BROOKLYN,K,16,40.693161,-73.935765
Q033,P.S. 33 - QUEENS,91-37 222 STREET,Queens,QUEENS,Q,29,40.727134,-73.735077
M054,I.S. 54 - MANHATTAN,103 WEST 107 STREET,Manhattan,MANHATTAN,M,3,40.800119,-73.962837
X110,P.S. 110 - BRONX,580 CROTONA PARK SOUTH,Bronx,BRONX,X,9,40.835286,-73.900751
X405,HERBERT H. LEHMAN HS - X,3000 EAST TREMONT AVENUE,Bronx,BRONX,X,8,40.840733,-73.838685
M028,P.S. 28 - MANHATTAN,475 WEST 155 STREET,Manhattan,MANHATTAN,M,6,40.831227,-73.942143
K308,P.S. 308 - BROOKLYN,616 QUINCY STREET,Brooklyn,BROOKLYN,K,16,40.688695,-73.935499
X162,HOSTOS-LINCOLN ACADEMY OF SCIENCE,600 ST ANNS AVENUE,Bronx,BRONX,X,7,40.815525,-73.912226
Q076,P.S. 76 - QUEENS,36-36 10 STREET,Queens,QUEENS,Q,30,40.760852,-73.941143
Q018,P.S. 18 - QUEENS,86-35 235 COURT,Queens,QUEENS,Q,26,40.732112,-73.73246
K285,I.S. 285 - BROOKLYN,5905 BEVERLY ROAD,Brooklyn,BROOKLYN,K,18,40.646875,-73.921028
K004,I.S. @ 4012 FORT HAMILTON PARKWAY - BROOKLYN,4012 FORT HAMILTON PARKWAY,Brooklyn,BROOKLYN,K,15,40.642578,-73.991388
R470,CONCORD HS - R,109 RHINE AVENUE,Staten Island,STATEN IS,R,31,40.610868,-74.087379
Q119,I.S. 119 - QUEENS,74-01 78 AVENUE,Queens,QUEENS,Q,24,40.704406,-73.875183
Q339,THE WOODSIDE COMMUNITY SCHOOL - QUEENS,39-07 57TH STREET,Queens,QUEENS,Q,30,40.747693,-73.906429
K054,P.S. 54 - BROOKLYN,195 SANDFORD STREET,Brooklyn,BROOKLYN,K,13,40.692741,-73.952981
Q036,P.S. 36 - QUEENS,187-01 FOCH BOULEVARD,Queens,QUEENS,Q,29,40.690828,-73.763907
