project_id,building_id,project_description,construction_award,project_type
1,Q225,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,11379100,CIP
2,X161,PARAPETS / EXTERIOR MASONRY / ELECTRICAL SERVICE UPGRADE / ELECTRIFICATION/HEAT PUMP SYSTEMS / ROOFS,25555000,CIP
3,K020,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,350000,CIP
4,X054,IPDVS CAMERA INSTALLATION / FY23 RESO A IPDVS CAMERA INSTALLATION,372000,CIP
5,Q202,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,8212500,CIP
6,M102,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,7500000,CIP
7,K145,FY24 RESO A PA SYSTEM UPGRADE,928120,CIP
8,R069,FY24 RESO A PA SYSTEM UPGRADE,869000,CIP
9,K081,ROOFS / EXTERIOR MASONRY / FLOOD ELIMINATION,4993919,CIP
10,Q033,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,395000,CIP
11,M054,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,14298000,CIP
12,X110,ELECTRICAL WORK FOR A/C INITIATIVE,4171.6,CIP
13,X405,AUDITORIUM UP0GRADE,1050000,CIP
14,M028,WATER INFILTRATION INTO ELECTRCIAL EQUIPMENT / FIRE ALARM SYSTEM REPLACEMENT,979000,CIP
15,Q202,FY23 RESO A CAFETERIA UPGRADE,1474000,CIP
16,K308,PLAYGROUND UPGRADE,2549101,CIP
17,X162,PARAPETS / EXTERIOR MASONRY,5264000,CIP
18,Q076,RETAINING WALL,398000,CIP
19,Q018,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,314000,CIP
20,K285,FY20 RESO A PATH OF TRAVEL SCIENCE LAB UPGRADES / FY20 RESO A SCIENCE LAB UPGRADES,1480000,CIP
21,K004,New,66677000,CAP
22,R470,FY22 RESO A (MA) CULINARY KITCHEN / PATH OF TRAVEL RESO A (MA) CULINARY KITCHEN,2587000,CIP
23,Q119,ROOFS / FLOOD ELIMINATION / PARAPETS / WINDOWS / EXTERIOR MASONRY / FIRE ALARM / LL26 EXIT SIGNS / EXTERIOR DOORS,19270344,CIP
24,Q339,FY24 RESO A PLAYGROUND UPGRADE,576000,CIP
25,K054,FULL PROGRAM ACCESSIBILITY / FIRE ALARM REPLACEMENT,14444000,CIP
26,Q036,ROOFS / EXTERIOR MASONRY / PARAPETS,5517000,CIP
27,M070,RESO A LOCKER ROOM UPGRADE / PATH OF TRAVEL RESO A LOCKER ROOM UPGRADE,2664000,CIP
28,M191,FULL PROGRAM ACCESSIBILITY,12427000,CIP
29,K179,FY24 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,595000,CIP
30,Q081,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,322000,CIP
31,Q139,ROOF TOP UNIT REPLACEMENTS / AUDITORIUM WATER INFILTRATION,6436000,CIP
32,R072,IDA FLOOD ELIMINATION / CONCRETE PARAPET WALL / IDA INTERIOR SPACES / EXTERIOR MASONRY / ROOFS,16387000,CIP
33,K104,FY23 RESO A OUTDOOR STEM CENTER / PATH OF TRAVEL RESO A OUTDOOR STEM CENTER,410000,CIP
34,Q452,PUBLIC ADDRESS SYSTEM REPLACEMENT,1114250,CIP
